sentence	obj-1	obj-2	aspect	flant5xl_fewshot
How can you tell the difference between literal and symbolic dreams ?	literal dreams	symbolic dreams	-	Objects: literal, symbolic Aspect: difference
should i get the Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter or ThinkPad 11a / b / g Wireless LAN Mini ?	Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter	ThinkPad 11a / b / g Wireless LAN Mini	-	Objects: 'Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter', 'ThinkPad 11a / b / g Wireless LAN Mini' Aspect: get
who is better manny or ortiz ?	manny	ortiz	better	manny, ortiz Aspect: better
Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?	Democrats	Republicans	likes	Objects: 'Democrats', 'Republicans' Aspect: likes
What is the difference between Judaism and Christianity ?	Judaism	Christianity	difference	Objects: Judaism, Christianity Aspect: difference
Are Parachial schools better than public schools ?	Parachial schools	public schools	better	Objects: public schools, Parachial schools Aspect: better
is the naruto manga more ahead in the series than the naruto shows ?	naruto manga	naruto shows	ahead	naruto manga, naruto shows Aspect: ahead
What are the benefits of using a DXF file versus a DWG file ?	DXF file	DWG file	benefits	a DWG file, DXF file Aspect: benefits
Would you rather love or be loved ?	love	be loved	-	Objects: 'love', 'be loved' Aspect: love
Do you like B5 or N-toon the most ?	B5	N-toon	like	Objects: 'B5', 'N-toon' Aspect: likes
Whose book is better Kimora Lee Simmons or Ashanti 's ?	book Kimora Lee Simmons	book Ashanti 's	-	Objects: book, Kimora Lee Simmons, Ashanti Aspect: better
What taste better chocolate or caramel ?	chocolate	caramel	taste	Objects: chocolate, caramel Aspect: taste
what is the difference between Modular homes & manufactured homes ?	Modular homes	manufactured homes	-	Objects: 'Modular homes','manufactured homes' Aspect: difference
Who do you think are better lovers , man or woman ?	man	woman	better lovers	Objects:'man', 'woman' Aspect: lovers
should i keep the booty or lose it by working out ?	keep	lose	-	Objects: booty, lose it Aspect: keep
what is best yahoo messenger or msn ?	yahoo messenger	msn	best	yahoo messenger, msn Aspect: best
What is the difference between MP3 players and IPods ? Which is better ?	MP3 players	IPods	better	Objects: mp3 player, ipod Aspect: better
Who do you think has better products , Avon or Mary Kay ?	Avon	Mary Kay	-	Objects: 'Avon', 'Mary Kay' Aspect: products
is it more important for women or men to have hair on top ?	women	men	-	Objects: hair, top Aspect: important
How can you make the work output of a machine GREATER than the work INPUT ?	work output	work INPUT	-	Objects: output, input Aspect: output, input
do you get more wet walking or running in the rain ?	walking rain	running rain	wet	Objects: walking, running Aspect: wet
Who agrees that working hard and making money is somehow better than working less and be happier ?	working hard and making money	working less and be happier	better	Objects: working hard, making money, working less, happier
how do you do an irish whip in Smackdown Vs . Raw 2007 ?	Smackdown	Raw 2007	irish whip	smackdown vs. raw 2007, irish whip
What are gear ratios ? What is the use of roof scoops ? What is the difference between torque and horsepower ?	torque	horsepower	-	Objects: gear ratios, roof scoops, difference between torque and horsepower
what is the difference between between PowerBook n iBook ?	PowerBook	iBook	-	iBook, PowerBook Aspect: difference
What is the difference between the fish circulatory system and the mammal circulatory system ?	fish circulatory system	mammal circulatory system	-	Objects: circulatory system, mammal Aspect: circulatory system
What is the difference between stucco and masonry ?	stucco	masonry	-	masonry, stucco Aspect: difference
Does anyone think that the imigration thing for the hispanics be compared to the armenian genocide ? ? ?	imigration thing for the hispanics	armenian genocide	-	Objects: armenian genocide, imigration thing for the hispanics Aspect: compare
what is bigger size bitmap or jpeg ?	bitmap	jpeg	size	jpeg, bitmap Aspect: size
what is the difference between sickle cell anemia and thalassemia ?	sickle cell anemia	thalassemia	-	thalassemia, sickle cell anemia Aspect: difference
Does ortho tri cyclen lo lower sex drive compared to no pill at all ?	ortho tri cyclen	no pill at all	sex drive	sex drive, pill Aspect: sex drive
who can enter carling cup ? which is superior FA Cup or Carling Cup ?	FA Cup	Carling Cup	superior	Objects: 'FA Cup', 'Carling Cup' Aspect: superior
what ' s the difference between intel pentium 4 and intel xeon ? which one is better ?	intel pentium 4	intel xeon	better	Objects: 'intel pentium 4', 'intel xeon' Aspect: better
Who is better and more handsome ? Lampard or Cristiano Ronaldo ?	Lampard	Cristiano Ronaldo	better more handsome	Objects: 'Lampard', 'Cristiano Ronaldo' Aspect: handsome
who looks best 50cent or lloyd banks ?	50cent	lloyd banks	looks best	lloyd banks, 50cent Aspect: looks
What is the difference between a blackout and a brownout ?	blackout	brownout	-	a blackout, a brownout Aspect: difference
What is the difference between a wink and a blink ?	wink	blink	-	a wink, a blink Aspect: difference
do you prefer fried eggs or scramble ? ? ? ? ?	fried eggs	scramble	prefer	fried eggs, scramble Aspect: prefer
What is the difference between an Isolated Thunderstorm and a Scattered Thunderstorm ?	Isolated Thunderstorm	Scattered Thunderstorm	-	Objects: isolated thunderstorm, scattered thunderstorm Aspect: difference
who has more booty beyonce or j-lo ?	beyonce	j-lo	booty	Objects: booty, beyonce, j-lo Aspect: booty
who lead in 2010,India or china ?	2010,India	china	lead	Objects: 'India', 'China' Aspect: lead
Does anyone have broadband cable ? Is it better than digital cable ? I want to change but I'm scared . ?	broadband cable	digital cable	better	Objects: broadband cable, digital cable Aspect: better
What will 7 mm magnum do to deer versus a 30 - 30 , both at same distance of 50 yards ?	7 mm magnum	30 - 30	do	Objects: '7 mm magnum', '30 - 30' Aspect: distance
Who do you think is better looking , Pumba or Rafiki ? ?	Pumba	Rafiki	better looking	Objects: 'Pumba', 'Rafiki' Aspect: better looking
what came first naruto or bleach ? i saw 1 ep of bleach and its almost the same bleach < ---skcus<--- anyways yapoo answers-stop deleting my Qs lol	naruto	bleach	first	naruto, bleach Aspect: came
Do u think men are more dominating when compared to women ?	men	women	dominating	Objects: men, women Aspect: compare
Why is the little spanish spoke in the Philippines similar to the spanish spoken in Mexico ?	spanish Philippines	spanish Mexico	similar	Objects: 'little spanish spoke in the Philippines', 'Spanish spoken in Mexico' Aspect: similar
How come it 's harder to open bottles / jars with my right hand than my left hand ?	jars right hand	jars left hand	open bottles	Objects: bottles / jars, hand Aspect: hand
do scientists look for life on planets only similar to our own ? Couldn't there be life not based on carbon ?	planets	life not based on carbon	-	Objects: 'life', 'planets' Aspect: similar
How does a revolving door conserve more energy than a regular door ?	revolving door	regular door	energy	revolving door, regular door Aspect: conserve
"What is the difference between "" unmarked "" bills and "" marked "" bills ?"	""" unmarked "" bills"	"marked "" bills"	-	Objects: bills, difference
Why do Microwave minutes last longer than normal minutes ?	Microwave minutes	normal minutes	last longer	Objects: minutes, Microwave Aspect: longer
Why do women live longer than men on average ?	women	men	longer	Objects: 'live longer','men' Aspect: live
Would a baby conceived and born in space be different to a baby conceived and born on earth ?	baby conceived and born in space	baby conceived and born on earth	-	conceived, born, earth
Why does American news footage look so old fashioned compared to the news in the UK ?	American news	news in the UK	look old fashioned	Objects: American news footage, UK news Aspect: old fashioned
Why do some people think that watching TV and movies is better than playing video games ?	watching TV and movies	playing video games	better	Objects: 'TV and movies', 'video games' Aspect: better
How does your brain tell the difference between a high or slightly lower frame rate of a video ?	high frame rate of a video	slightly lower frame rate of a video	difference	a high, frame rate of a video Aspect: tell
Why do the centers of Lindor chocolate truffles feel colder than the outer shells ?	centers Lindor chocolate truffles	Lindor chocolate truffles outer shells	feel colder	Objects: centers, shells Aspect: colder
Why is Trump 's call to Taiwan worse than selling arms to Taiwan ?	Trump 's call to Taiwan	selling arms to Taiwan	worse	Objects: 'Trump's call to Taiwan, selling arms to Taiwan'Aspect: worse
Why does hot water wash dishes better than cold water ?	hot water	cold water	wash dishes better	Objects: cold water, hot water Aspect: better
Why are freezer lights much less common than fridge lights ?	freezer lights	fridge lights	common	Objects: freezer, fridge Aspect: less common
Why does being submerged in water feel significantly colder than walking around in the same air temperature ?	submerged in water	walking around in the same air temperature	feel colder	Objects: air temperature, water temperature Aspect: colder
What is Ethereum and how is it different / related to btcoin ?	Ethereum	btcoin	different	btcoin, Ethereum Aspect: related
What is the difference between Colorado and Washington recreational cannabis laws ?	Colorado	Washington	cannabis laws	Objects: Colorado, Washington Aspect: difference
How are magnets and electricity the same thing ?	magnets	electricity	same	Objects: magnets, electricity Aspect: same
Why do we get colds in the summer ? And is this any different to getting the sniffles in winter due to the cold weather ?	colds in the summer	sniffles in winter	-	Objects: colds, cold weather
Why does moving air feel colder than stationary air , even if I'm not really sweating ?	moving air	stationary air	feel colder	Objects: moving air, stationary air Aspect: colder
Why do people treat rape jokes as worse than murder jokes ?	rape jokes	murder jokes	treat	rape jokes, murder jokes Aspect: worse
What is the difference between direct and alternating current and how would using each one in a light bulb change the way it works ?	direct current	alternating current	-	alternating current, direct current Aspect: change
What is the difference between the alligator and the crocodile , and how did they evolve separately but so similarly ?	alligator	crocodile	evolve	crocodile, alligator Aspect: similarly
is a group of people shouting louder than just one person ?	group of people shouting	shouting one person	louder	a group of people, one person Aspect: louder
How alike are ISIS and the Left Wing Terror Groups of the 1970s	ISIS	Left Wing Terror Groups of the 1970s	alike	Objects: ISIS, Left Wing Terror Groups of the 1970s Aspect: alike
What is book vs market value with respect to a mutual fund ?	book value	market value	mutual fund	Objects: mutual fund, book, value
is a mutual fund ? How is it different from a company offering stocks ?	mutual fund	company offering stocks	-	a company offering stocks, mutual fund Aspect: different
Why does hitting a Hollow Object hurt more than hitting a Solid Object	hitting a Hollow Object	hitting a Solid Object	hurt	Objects: Hollow Object, Solid Object Aspect: hurt
are virtual particles and how are they different from regular ones ?	virtual particles	particles regular	-	Objects: 'virtual particles','regular ones' Aspect: different
Why can we hold in a bigger volume of urine while we are sleeping compared to when we are awake ?	sleeping	awake	hold	Objects: volume, sleep, volume Aspect: hold
What is the difference between agnosticism and atheism ?	agnosticism	atheism	-	agnosticism, atheism Aspect: difference
what is the difference between a presidential / executive order and a law and why presidents don't just fulfill their entire agendas / promises through executive orders ?	presidential / executive order	a law	-	a law, executive order Aspect: law
Why Quantum Computing is better than Classical .	Quantum Computing	Computing Classical	better	Objects: Quantum Computing, Classical Aspect: better
Why does Canada have so many more lakes than the United States ( map link inside )	Canada lakes	lakes United States	-	Objects: Canada, United States Aspect: has
What is the rational for making cloned meat vs vat-grown meat ? pros and cons ?	cloned meat	vat-grown meat	-	cloned meat, vat-grown meat Aspect: pros, cons
How come laws in Sweden are so different from those in America ?	Sweden	America	laws	Objects: 'laws in Sweden', 'laws in America' Aspect: different
What is the difference between a police officer and a sheriff ?	police officer	sheriff	-	Objects: 'police officer','sheriff' Aspect: difference
Why does it make sense for a country to ban guns but not also cars ( as cars can be just as deadly as guns ) ?	guns	cars	-	Objects: guns, cars Aspect: deadly
Why is everything cheaper in the USA compared to the rest of the industrialized nations like Canada , Australia , UK , Germany etc .	USA	industrialized nations	cheaper	Objects: 'USA', 'Canada, Australia, UK, Germany' Aspect: cheaper
What is the Asian Holocaust and why didn't we learn about it in school if it 's worse than the Jewish Holocaust ?	Asian Holocaust	Jewish	worse	Objects: 'Asian Holocaust', 'Jewish Holocaust' Aspect: worse
Can someone explain to me why a lot of the anime population likes subbed better than dubbed ?	subbed	dubbed	likes	subbed, dubbed Aspect: likes
Why does cold water tastes different than hot water ?	cold water	hot water	tastes	Objects: cold water, hot water Aspect: different
Why does chocolate that has been melted once melt faster than chocolate that hasn't been melted ?	has been melted once	hasn't been melted	melt faster	Objects: chocolate, chocolate that hasn't been melted Aspect: melt faster
is Formula1 different from a typical car race , why is it so popular ?	Formula1	typical	-	Objects: 'Ferrari', 'car race' Aspect: car race
Why does tea lose heat quicker than coffee ?	tea	coffee	lose heat	Objects: tea, coffee Aspect: lose heat
What is the difference between soap and shampoo ?	soap	shampoo	-	Objects:'soap','shampoo' Aspect: difference
How are the World Wars different than an Allied Peace Keeping Force invading Iraq ?	World Wars	Allied Peace Keeping Force invading Iraq	-	Allied Peace Keeping Force, World Wars Aspect: different
Why is it faster to erase 4 GB of data from a USB drive than write the same 4 GB on it ?	erase 4 GB of data	4 GB of data write	faster	Objects: erase, data, USB drive, write
Why is powder easier to disolve in hot water than cold ?	hot water	water cold	disolve	Objects: powder, water Aspect: cold
Why do British prime ministers resign so easily , compared to U.S. presidents ?	British prime ministers	U.S. presidents	resign	Objects: 'British prime ministers', 'U.S. presidents' Aspect: resign
Why does a cup with smaller surface area make more noise when set down than a cup with a bigger surface area ?	cup smaller surface	cup bigger surface	noise	a cup, surface area
Why do scientists need research and sources for claims but we dont require the same of politicians ?	scientists	politicians	research and sources	Objects:'require','require','research','sources','require','require','require','require','require','require','require','require','require','require'
"Why does the "" I "" in "" HIV "" stand for immunodeficiency but the "" ID "" in "" AIDS "" strand for "" Immune Deficiency "" ? What 's the difference between immune and immuno ?"	immune	immuno	difference	Objects: 'HIV', 'AIDS', 'immune', 'immunodeficiency', 'immune Deficiency', 'immunedeficiency', 'immune', 'immunodeficiency', 'immunedeficiency', 'immunedeficiency', '
What is the difference between a duck hook and a snap hook in golf ?	duck hook	snap hook	difference	a duck hook, a snap hook Aspect: difference
Does brain activity in animals take up less relative energy than the human brain ?	brain activity animals	brain activity human	energy	Objects: brain activity, energy, brain
Are nautical miles different to regular miles ? If so , why are two different kinds of miles used for navigation ?	nautical miles	regular miles	-	Objects: nautical miles, regular miles Aspect: different
Is it harder or easier for animals with 4 legs to walk compared to animals with 2 legs ?	animals with 4 legs	animals with 2 legs	walk	Objects: animals, walk
"Why is a teflon pan more "" non stick "" than a ceramic pan ?"	teflon pan	ceramic pan	non stick	teflon pan, ceramic pan Aspect: non stick
Why do I look so much better in a window reflection than in a mirror ?	window reflection	mirror	look	Objects: mirror, window reflection Aspect: look
What is the difference between Quicksaving and actual Saving in video games ?	Quicksaving video games	actual Saving video games	-	Objects: Quicksaving, Saving Aspect: difference
Why does water feel cooler than air of the same temperature ?	water same temperature	air same temperature	feel cooler	Objects: air, water, temperature
Why is real estate investing so expensive compared to businesses ?	real estate investing	businesses	expensive	Objects: real estate investing, businesses Aspect: expensive
Why are womens physical traits more desired than mens ?	womens physical traits	physical traits mens	desired	Objects: 'female','male' Aspect: desired
Do humans experience anything similar to when animals go into heat ?	humans	animals	heat	Objects: animals, humans Aspect: similar
Why does sparkling water taste differently than regular water ?	sparkling water	regular water	taste	Objects: sparkling water, regular water Aspect: taste
Why is weed smoke not as dark as forest fire smoke ?	weed smoke	forest fire smoke	dark	weed smoke, forest fire smoke Aspect: dark
Why dies steak cook faster than chicken ?	steak	chicken	cook faster	Objects: chicken, steak Aspect: cook
What is the difference between photos and regular printing ?	photos	regular printing	-	Objects: 'photos','regular printing' Aspect: difference
Does where your driving on the road ( shoulder versus near the center lane ) increase the distance you travel ?	driving road shoulder	driving road the center lane	distance	Objects: driving, distance, road
What is the actual difference between spicy food and hot food ?	spicy food	hot food	-	Objects: spicy food, hot food Aspect: difference
Why do motorcycles have a gear ratio of less than 1:1 , whereas bicycles have a higher ratio ?	motorcycles	bicycles	gear ratio	Objects: motorcycles, bicycles Aspect: ratio
Is -10ºF twice as cold as -5ºF ?	-10ºF	-5ºF	cold	-10oF, -5oF Aspect: cold
Is there any information on how many dog people vs cat people there are ?	dog people	cat people	how many	Objects: 'dog people', 'cat people' Aspect: comparison
Why are Western nations seemingly helping Syrian immigrants much more than the nations close to it ?	Western	close to	helping	Objects: nations, Syrian immigrants, nations close to it Aspect: helping
Why are There More ISPs than Companies Providing TV ?	ISPs	Companies	-	Objects: 'ISPs', 'Companies Providing TV' Aspect: More
Is there any difference between a mile and a country mile ?	mile	country mile	-	a mile, country mile Aspect: difference
Why are black Americans usually much lighter in skin tone than those from Africa today ?	black Americans	those from Africa	skin tone	Objects: 'Americans', 'Africans' Aspect: lighter
Does going up stairs 2 at a time use a different amount of energy than going up 1 at a time ?	going up stairs 2 at a time	going up 1 at a time	energy	stair, energy
What is the difference between domestic violence and assualt ?	domestic violence	assualt	-	Objects: domestic violence, assault Aspect: difference
Is the American South really more racist than the rest of the US or is it a stereotype ?	American South	rest of the US	racist	Objects: 'American South','rest of the US' Aspect: racist
How true is it that it is easier to get faster in running in your teenage years compared to your 20s ?	running teenage years	running 20s	easier	Objects: teenage years, 20s Aspect: easier
Is anal sex better than vaginal ?	anal sex	sex vaginal	better	sex, vaginal Aspect: better
Why is bench pressing my body weight significantly easier than doing pushups ?	bench pressing	pushups	easier	Objects: 'bench pressing my body weight ', 'doing pushups'Aspect: easier
Is the Terran Empire from mirror Star Trek worse than the Empire from Star Wars ?	Terran mirror Star Trek	Star Wars	-	Objects: Terran Empire, Empire from Star Wars Aspect: worse
What is the difference between a boyfriend T shirt and a men 's shirt . ( Besides price )	boyfriend T shirt	men 's shirt	-	t shirt, shirt Aspect: price
"Does it make any difference between using the term "" Native American "" or "" Indian "" ? ... Is it racist to wonder that ?"	Native American	Indian	using	Objects: 'Native American', 'Indian' Aspect: difference
Do blind people report higher rates of being victims of crime than those with sight ?	blind people	people with sight	rates of being victims of crime	Objects: 'blind people', 'those with sight' Aspect: crime
How is the Infrared in our remotes different from Infrared in the form of heat ?	remotes	form of heat	-	Objects: remotes, Infrared in the form of heat Aspect: different
Does doing 100 push-ups over the course of a day vs. all in one session end with the same result ?	100 push-ups the course of a day	100 push-ups in one session	result	Objects: 100 push-ups, result
"Is there really a difference between "" liquid "" and "" solid "" measuring cups for cooking / baking ?"	liquid measuring cups	solid measuring cups	cooking / baking	Objects: liquid, solid Aspect: difference
What are the difference between how a laser printer and an ink printer function ?	laser printer	ink printer	function	a laser printer, ink printer Aspect: function
Is T-Mobile better than Verizon cost and service wise ?	T-Mobile	Verizon	cost and service	Objects: 'T-Mobile', 'Verizon' Aspect: cost, service
Do deaf people appreciate / like silent cinema more than hearing people ?	deaf people silent cinema	silent cinema hearing people	appreciate / like	Objects: cinema, deaf, hearing
Why is my couch more comfortable than my bed ?	couch	bed	comfortable	Objects: couch, bed Aspect: comfortable
What is the difference between DVD-R and DVD+R ?	DVD-R	DVD+R	-	Objects: 'DVD-R', 'DVD+R' Aspect: difference
Why is it easier to get planning permission for brownfield sites rather than greenfield ?	brownfield sites	sites greenfield	planning permission	Objects: brownfield, greenfield Aspect: easier
Are yahoo maps or google maps better ?	yahoo maps	google maps	better	yahoo maps, google maps Aspect: better
do u like extroverts or introverts ?	extroverts	introverts	-	Objects: 'extroverts', 'introverts' Aspect: likes
What are the differences between Democracy vs Dictatorship ?	Democracy	Dictatorship	-	Objects: Democracy, Dictatorship Aspect: differences
Is it cheaper to buy cosmetics from the airport than the city ?	airport	city	cheaper	Objects: airport, city Aspect: cheaper
what place is the best virgin islands or Hawaii ?	virgin islands	Hawaii	best	Objects: virgin islands, Hawaii Aspect: place
what is the difference between sterling silver and platinum besides the price ?	sterling silver	platinum	-	Objects: sterling silver, platinum Aspect: price
are boules and petanque the same game ?	boules	petanque	-	Objects: 'boules', 'petanque' Aspect: same
is a family med graduate as efficient as a medicine one ?	family med graduate	medicine	efficient	Objects: 'family med graduate','medicine' Aspect: efficient
what is the difference between ATA and SATA hard disks	ATA hard disks	SATA hard disks	-	ATA, SATA Aspect: difference
Who should be impeached , bush or clinton ? ?	bush	clinton	impeached	clinton, bush Aspect: impeached
Who would win cowboys or falcons for the superbowl ? ?	cowboys superbowl	falcons superbowl	win	Objects: cowboys, falcons Aspect: win
Is light blue jeans nicer or dark blue ones ? ( suppose they're of the same design and cut ) ?	light blue jeans	jeans dark blue	nicer	jean, nicer
what are the best ' hold me in ' knickers or underware ?	knickers	underware	-	knickers, underware Aspect: hold me in
Why is the ocean water denser than fresh water ?	ocean water	fresh water	denser	Objects: ocean water, fresh water Aspect: denser
What is the difference between a transsexual and a hermaphrodite ?	transsexual	hermaphrodite	-	a transsexual, hermaphrodite Aspect: difference
why is american english different than british english when the british colonised this country ?	american english	british english	-	british english, american english Aspect: different
Is that true , LCD monitor has lower radiation than tradition CRT monitor ?	LCD monitor	CRT monitor	radiation	Objects: LCD monitor, CRT monitor Aspect: radiation
are cat lice and human lice the same ?	cat lice	human lice	-	Objects: cat lice, human lice Aspect: same
